id,nom_estab,entidad,municipio,localidad
6166261,"PESQUERA VILLALOBOS, S. DE R.L. DE C.V.",BAJA CALIFORNIA,Ensenada,Ensenada
6166286,"PEZ WILLY, S.P.R. DE R.L.",BAJA CALIFORNIA,Ensenada,Ensenada
6166486,"PISCICULTURA Y OTRA ACUICULTURA, EXCEPTO CAMARONICULTURA",BAJA CALIFORNIA,Ensenada,Ensenada
6166481,"PISCICULTURA Y OTRA ACUICULTURA, EXCEPTO CAMARONICULTURA",BAJA CALIFORNIA,Ensenada,La Chorera
6723403,"PRODUCTORA HERNANDEZ CAJEME E HIJOS, S.P.R. DE R.L.",BAJA CALIFORNIA,Ensenada,El Rosario de Arriba
6166427,PRODUCTORA Y COMERCIALIZADORA DE ESPECIES MARINAS VIP,BAJA CALIFORNIA,Mexicali,Don Abel
6166462,PRODUCTORES PESQUEROS DE BC S.P.R. DE RL,BAJA CALIFORNIA,Ensenada,Ensenada
6166502,PRODUCTOS DEL MAR CATALINA,BAJA CALIFORNIA,Ensenada,Ensenada
6166270,"PRODUCTOS DEL MAR COSTA OESTE, S.P. DE R.L.",BAJA CALIFORNIA,Ensenada,Ensenada
6189002,PRODUCTOS MARINOS ERENDIRA SDPR DE RL,BAJA CALIFORNIA,Ensenada,Puerto San Isidro
6166480,PRODUCTOS MARINOS S.P.R. DE RL,BAJA CALIFORNIA,Ensenada,La Chorera
6501219,PUNTA COLONET SAN TELMO,BAJA CALIFORNIA,Ensenada,Ejido México (Punta Colonet)
6166253,"PUNTA ROSARITO, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Ensenada
6288294,RANCHO EL GOLFO,BAJA CALIFORNIA,Mexicali,Familia Ceceña (Colonia Silva)
98259,RANCHO HERMANOS PEREZ,BAJA CALIFORNIA,Ensenada,Ejido México (Punta Colonet)
98495,"RANCHO NUEVO PRODUCE, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,Vicente Guerrero
6485486,"RANCHO SAN VICENTE CAMALU, S.A. DE C.V.",BAJA CALIFORNIA,Ensenada,Poblado Chulavista (El Chorizo)
6166478,"ROCAS SAN MARTIN, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,San Quintín
6166328,"ROEZA, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,El Rosario de Arriba
6166482,ROSALES LEDEZMA S.P.R. DE RL,BAJA CALIFORNIA,Ensenada,La Chorera
75766,SALA DE EXIBIHICION DE PLANTAS,BAJA CALIFORNIA,Ensenada,Ensenada
6166361,SCPP ACUÍCOLA CON PATRIMONIO EN EL MAR,BAJA CALIFORNIA,Ensenada,Ejido Villa Jesús María
6166489,"SCPP BAHÍA DE LOS ANGELES, S.C.L.",BAJA CALIFORNIA,Mexicali,San Felipe
6166260,SCPP CALIFORNIA SAN IGNACIO SCL,BAJA CALIFORNIA,Ensenada,Ensenada
6785855,SCPP PESCADORES NACIONALES DE ABULÓN,BAJA CALIFORNIA,Ensenada,Isla de Cedros
6785869,SCPP PESCADORES NACIONALES DE ABULÓN SC DE RL,BAJA CALIFORNIA,Ensenada,Ensenada
6166460,"SCPP RAFAEL ORTEGA CRUZ, S.C.L.",BAJA CALIFORNIA,Ensenada,Santa Rosaliíta
6166468,SEA URCHIN PACIFIC S. DE R.L. DE C.V.,BAJA CALIFORNIA,Ensenada,Ensenada
6166330,"SERVICIOS TURISTICOS Y PESCA COMERCIAL LOS VOLCANES, S.P.R. DE RL",BAJA CALIFORNIA,Ensenada,Ejido Papalote
6166295,"SOC. COOP. DE PROD. PESQ. BAHÍA TORTUGAS, S.C. DE R.L.",BAJA CALIFORNIA,Ensenada,Ensenada
6166423,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA ÁNGELES DEL MAR,BAJA CALIFORNIA,Mexicali,San Felipe
6166405,SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA COLONIA VICENTE GUERREROS,BAJA CALIFORNIA,Ensenada,Vicente Guerrero
6166359,"SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA DE PARTICIPACIÓN ESTATAL ABULONERO Y LANGOSTEROS, S.C.L.",BAJA CALIFORNIA,Ensenada,Ensenada
6166262,"SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA DEMETRIO SOBERANES CASTRO, S.C.L.",BAJA CALIFORNIA,Mexicali,San Felipe
6166340,"SOCIEDAD COOPERATIVA DE PRODUCCIÓN PESQUERA EMANCIPACION, S.C. DE RL",BAJA CALIFORNIA,Ensenada,Ensenada
